Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Aari,aari1239,0,0,10,0,5,23,16,20,11,14,0,1,2,1,9,5,1,15,10,7,9,15,8,2,5,6,5,0,0,24,0,1,3,0,2,2,0
Mungbam,abar1238,4,0,8,0,0,20,16,18,8,12,0,0,4,1,11,5,1,11,10,11,6,20,14,1,9,4,7,0,0,22,0,1,0,0,0,0,0
Abau,abau1245,0,0,5,0,0,6,10,10,2,8,1,0,2,0,5,3,0,3,3,0,1,8,5,1,3,4,6,0,0,10,0,1,0,0,0,0,0
Abidji,abid1235,0,0,18,0,0,18,25,25,3,22,0,1,12,1,15,9,1,9,6,3,1,27,17,2,12,9,10,0,0,30,0,1,1,0,0,0,0
Abidji,abid1235,2,0,15,0,0,18,22,22,5,19,0,1,10,1,15,9,1,9,6,3,1,24,17,2,9,9,9,0,0,27,0,1,1,0,0,0,0
Abipon,abip1241,0,0,10,0,5,12,15,15,3,12,1,0,3,1,4,2,0,6,4,2,0,16,6,2,6,4,6,0,0,17,0,1,0,0,0,0,0
Abipon,abip1241,0,0,5,0,0,12,12,12,4,9,0,0,3,1,4,2,0,6,4,2,1,12,7,1,4,4,4,0,0,14,0,1,0,0,0,0,0
Aewa,abis1238,0,0,10,0,0,14,16,17,5,14,1,0,6,1,8,6,0,8,6,2,4,15,10,2,5,5,10,0,0,16,0,1,1,0,0,0,0
Abkhazian,abkh1244,0,0,3,0,1,64,10,38,39,8,0,1,2,1,26,20,2,36,24,17,27,38,26,4,18,11,4,3,0,31,0,11,13,0,13,0,0
Abkhazian,abkh1244,0,0,3,0,1,56,10,30,31,8,0,1,2,1,24,17,3,29,17,10,20,29,19,4,11,9,4,1,0,28,0,10,14,0,14,0,0
Abua,abua1244,3,0,10,0,0,24,20,22,7,15,1,1,5,2,15,5,2,10,9,1,2,20,14,1,5,5,7,0,0,30,0,1,0,0,0,2,0
Abure,abur1243,4,0,14,0,0,17,21,21,4,17,0,0,9,1,14,7,2,8,5,3,1,23,17,2,10,7,8,0,0,26,0,1,0,0,0,0,0
Acatepec Me'phaa,acat1239,0,0,10,0,0,17,16,18,7,14,0,1,7,1,9,5,0,10,7,6,5,14,8,2,5,5,6,0,0,20,0,1,1,0,0,0,0
Longchuan Achang,acha1249,0,0,24,0,0,35,36,36,14,26,0,0,14,2,21,12,1,20,14,6,12,39,33,10,23,17,19,0,0,33,0,7,1,0,0,0,0
Achagua,acha1250,0,0,10,0,5,16,16,18,6,14,1,0,2,1,9,6,0,10,7,3,5,14,8,2,5,5,10,0,0,19,0,1,1,0,0,0,0
Acheron,ache1245,0,0,20,0,11,16,30,25,2,24,0,1,6,1,13,11,0,10,7,4,2,29,17,2,12,9,10,0,0,30,0,0,0,0,0,0,0
Aché,ache1246,0,0,10,0,0,11,15,12,3,11,1,0,9,1,8,4,0,5,3,2,2,12,6,2,4,4,4,0,0,17,0,0,0,0,0,0,0
Aché,ache1246,0,0,12,0,0,20,22,18,6,15,1,0,13,0,12,5,1,9,5,4,3,18,12,2,6,5,12,0,0,28,0,0,1,0,0,0,0
Achinese,achi1257,0,0,34,0,0,18,42,42,4,38,0,1,16,1,16,12,1,10,6,4,2,42,27,4,20,20,23,0,0,46,0,1,1,0,0,0,0
Achumawi,achu1247,0,0,6,0,0,14,12,15,6,10,0,0,2,1,5,3,0,7,5,2,3,12,6,1,3,5,4,0,0,13,0,1,1,0,0,0,0
Achuar-Shiwiar,achu1248,0,0,12,0,4,13,18,18,5,15,1,0,7,0,6,4,0,7,5,2,4,17,14,3,4,4,11,0,0,18,0,0,1,0,0,0,0
Acoli,acol1236,3,0,9,0,0,15,17,13,0,13,1,0,4,1,8,5,0,9,6,4,0,17,11,1,7,6,5,0,0,22,0,0,0,0,0,0,0
Adamawa Fulfulde,adam1253,0,0,10,0,15,34,25,19,8,15,0,1,10,2,13,5,1,18,12,6,6,21,14,2,7,6,10,0,0,37,0,1,1,0,0,4,0
Adamawa Fulfulde,adam1253,0,0,9,0,4,24,21,17,7,13,0,1,8,1,11,4,0,12,8,4,4,16,11,2,6,4,9,0,0,28,0,1,1,0,0,2,0
Adamawa Fulfulde,adam1253,0,0,10,0,5,21,18,18,4,14,0,1,4,1,11,5,2,10,7,3,1,19,13,2,9,5,10,0,0,25,0,1,2,0,0,2,0
Adamawa Fulfulde,adam1253,0,0,10,0,5,26,22,18,7,14,0,1,8,1,12,5,2,12,8,4,4,19,12,2,7,6,10,0,0,29,0,1,2,0,0,2,0
Adangme,adan1247,4,0,12,0,0,20,20,20,7,15,0,0,10,1,14,6,2,9,6,3,4,21,13,2,7,6,8,0,0,27,0,1,0,0,0,0,0
Adang,adan1251,0,0,22,0,5,17,28,27,3,24,0,1,4,1,17,13,1,9,6,3,1,28,19,4,15,13,16,0,0,32,0,1,1,0,0,0,0
Adioukrou,adio1239,3,0,7,0,0,18,15,14,5,11,0,1,4,1,10,4,1,9,7,2,3,15,10,1,5,4,6,0,0,20,0,1,0,0,0,0,0
Adioukrou,adio1239,4,0,7,0,0,18,15,14,5,11,0,1,4,1,10,4,1,9,6,3,3,15,10,1,5,4,6,0,0,20,0,1,0,0,0,0,0
Adnyamathanha,adny1235,0,0,3,0,0,22,19,15,2,13,2,1,6,4,5,2,0,17,12,7,0,10,9,1,5,2,4,0,0,21,0,0,0,0,0,0,0
Adyghe,adyg1241,0,0,3,0,0,51,8,33,32,6,0,1,2,3,21,16,1,29,25,15,20,30,21,1,13,7,3,0,0,22,0,1,14,0,14,0,0
Adzera,adze1240,0,0,7,0,3,15,13,13,5,10,0,1,3,0,6,2,1,7,7,0,3,12,8,2,3,4,5,0,0,17,0,5,1,0,0,0,0
Adzera,adze1240,0,0,7,0,3,15,13,13,5,10,0,1,3,0,6,2,1,7,7,0,3,12,8,2,3,4,7,0,0,17,0,5,1,0,0,0,0
Afade,afad1236,0,0,9,0,0,24,15,18,7,13,0,1,2,2,12,4,2,12,9,4,2,18,11,2,6,6,7,0,0,22,0,1,5,0,4,2,0
Afar,afar1241,0,0,10,0,4,14,16,19,5,14,0,1,2,1,8,5,1,7,6,0,1,16,8,3,5,8,10,0,0,21,0,1,0,0,0,0,0
Afitti,afit1238,3,0,6,0,0,15,14,12,2,10,0,1,4,1,6,3,1,9,6,3,1,14,10,1,6,4,6,0,0,18,0,0,0,0,0,0,0
Afrikaans,afri1274,0,0,23,0,8,14,29,31,5,26,0,1,3,1,17,12,2,6,6,0,1,27,16,3,17,6,14,0,0,33,0,1,0,0,0,0,0
Aghem,aghe1239,2,0,19,0,9,26,27,27,11,22,0,0,5,1,20,10,4,11,6,5,6,29,17,4,10,10,10,0,0,37,0,3,1,0,0,0,0
Aghem,aghe1239,0,0,10,0,0,23,18,17,9,13,0,0,5,1,13,6,2,11,8,3,6,20,14,2,6,6,6,0,0,27,0,0,1,0,0,0,0
Aghu Tharnggalu,aghu1254,0,0,7,0,0,17,17,12,0,12,0,1,5,1,6,3,0,12,11,6,0,15,11,1,6,3,7,0,0,17,0,0,0,5,0,0,0
