,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
0,2.923664236712124e-17,0.0,-5.416472691171935e-17,-5.909841031117106e-18,-1.9203857723245952e-15,-1.96839541663271e-15,1.0586742078199691e-16,4.056199435775347e-16,-2.195517964705715e-15,1.551080816108327e-16,4.085436078142468e-17,-3.7422902229915187e-16,-9.454206879136469e-16,-2.525122638128734e-16,-1.9019205245137818e-16,2.782097336829221e-16,-2.412792380612953e-16,-1.2504050309222485e-15,-1.149461676223135e-16,-3.876163269619916e-16,-2.886733741090497e-16,-1.4821438909479567e-15,-1.7788188724416923e-16,3.1390921278382806e-17,-1.2974914128398226e-15,9.109522253334617e-17,-3.5699479100905934e-17,-9.830820995944517e-17,3.0237444372492475e-18,-2.609755023928296e-15,1.1243845232717309e-17,2.782097336829221e-16,-8.186259862793947e-17,-2.4966553810870637e-17,-7.866964952731965e-18,4.30855782252313e-18,1.1156087219033105e-18
1,8.088163233799001e-18,0.0,1.7283471950921357e-15,1.8455630494245282e-17,-1.549849799587606e-15,6.4357543703288356e-15,-1.2014721242235928e-15,1.1433065936195306e-16,2.1388912047525538e-15,1.7480434594236698e-16,-1.8095942854597147e-16,-1.3110325945677525e-16,-4.924066082883577e-17,-6.872149726924392e-16,-2.5635919044012624e-16,-1.0180506626361796e-15,-5.847328473424248e-16,2.550666230933693e-15,2.91827853943397e-16,-6.339735081712605e-17,2.220753803380493e-15,4.736951571734001e-15,-4.576919424040285e-15,6.047368658041394e-17,2.8953508567355435e-15,-8.444773332145335e-16,-3.200642953874325e-17,2.5812877668866253e-17,1.7186745789537368e-17,2.4620330414417884e-16,1.1285920992702887e-17,-9.983543983046454e-16,5.761157316973786e-16,6.4051328343759035e-18,-5.182579552234965e-16,3.6191885709194294e-16,7.693853254505589e-20
2,7.321470756987519e-16,0.0,1.0340538774055513e-15,3.3691383401479974e-16,6.487457064199113e-16,-8.931024857830087e-16,2.4620330414417884e-16,3.1760226234599075e-16,2.0788791493674101e-16,6.893692516037008e-16,4.231619289978074e-17,3.2991242755319967e-16,-5.93349962987471e-16,2.6559181434553295e-16,2.412792380612953e-16,-1.501840155279491e-16,3.286814110324788e-16,4.631699659212365e-16,3.5730254513923956e-16,-2.0365629564676294e-16,6.7336603683432915e-16,2.0594906391660562e-15,-3.5367104640311295e-15,-1.194855410424718e-16,8.567874984217425e-16,-1.3578112223551464e-15,-2.6836160151715494e-16,-1.69995687658301e-16,-2.4312576284237663e-17,1.3491941067101002e-15,-1.209137125528394e-17,-7.767714245748843e-16,8.949490105640902e-16,1.4502913384743036e-17,-4.388573896369988e-16,2.9082765302031127e-16,-2.20275018676495e-16
3,-1.2833347228515324e-16,0.0,1.9154617062417115e-15,1.534923724273865e-16,1.432903230119121e-15,2.865806460238242e-15,-7.3122381330821125e-16,3.352981248313536e-16,2.8996594145580667e-15,5.139493974009734e-17,1.0525191252163647e-16,-2.258915315522841e-16,6.105841942775635e-16,7.546131272019082e-16,-5.090253313180898e-16,4.228541748676272e-16,1.6249418073515806e-16,5.434937938982749e-16,4.1562195280839194e-16,1.4941463020249855e-16,-2.6405304369463184e-16,1.5215364196110254e-15,1.3541181727929837e-16,-7.863118026104712e-17,2.0533355565624518e-15,-6.031980951532382e-17,-4.30855782252313e-18,-4.820199063947752e-17,6.004812032227409e-19,5.140724990530455e-15,5.295534935327675e-18,2.9175091541085196e-16,-1.1694656946848495e-15,-4.0392729586154346e-17,7.262997472253276e-17,-1.9727039744552331e-16,-9.832744459258144e-17
4,-1.5618522106646345e-17,0.0,6.52438755982074e-16,1.0067406983520564e-16,2.9175091541085194e-15,-3.5453275796761758e-15,5.884258969045874e-16,-4.4131942267844063e-16,3.0990840909148514e-15,-1.1743897607677332e-15,1.998863075520552e-16,1.7418883768200654e-16,1.7184990629263685e-15,4.745568687379047e-16,-5.308758745608856e-16,-1.6840306003461835e-15,7.5707516024335e-16,-1.7708172650570064e-15,6.490534605500915e-16,-5.764234858275587e-16,1.0340538774055513e-16,1.2088582233479182e-15,-5.995050455910755e-16,3.954640572815873e-17,-6.819831524793754e-16,-1.047595059133481e-15,2.7697871716220123e-16,-5.1664224604005034e-17,7.087511498999143e-19,4.815736629060139e-15,-2.293730001499479e-18,-1.796053103731785e-15,5.847328473424248e-16,-8.847931242681427e-18,5.139493974009734e-17,7.856962943501108e-16,-7.973140127644142e-16
5,2.528969564755987e-16,0.0,3.065231136595027e-16,5.74538491780205e-17,-2.553128263975135e-15,-3.099699599175212e-15,9.331105227064378e-16,2.27122548073005e-16,-4.545528502761902e-16,-2.3020008937480723e-16,-3.2837365690229856e-16,-2.400482215405744e-16,6.721350203136083e-16,-8.86331894919044e-17,1.0586742078199691e-16,-2.0354858170119986e-15,-1.0463640426127602e-16,-3.156326359128373e-15,3.379140349378855e-16,8.407458143860983e-17,-3.4037606797932726e-16,8.370912340902081e-17,-2.176437208634541e-15,5.154881680518745e-18,-1.8219044506669235e-16,-8.420153001730917e-16,-7.693853254505589e-17,7.055263434381626e-17,1.4323790863661579e-18,1.3472244802769468e-14,-2.9903843704035397e-19,-5.576504838865651e-16,1.1202250338560137e-16,1.8357533865250337e-16,2.5851346935138782e-17,1.5079952378830955e-17,-1.6534090643932511e-16
6,1.1002210153942993e-17,0.0,-8.937179940433693e-16,-1.3548875581184342e-16,-1.0869875877965498e-15,5.214585981773708e-15,1.1694656946848495e-15,-1.1793138268506167e-15,1.6520241708074402e-15,-7.669232924091172e-16,-2.859035869374277e-16,-4.800964430811488e-17,2.806717667243639e-16,5.164114304424152e-16,-4.937530326078962e-17,6.899847598640613e-16,4.01926894015372e-16,-1.467371692699306e-15,2.5235838674778333e-16,-1.5428099238597332e-16,-9.928148239614013e-16,3.939252866306862e-17,-1.6692584020975328e-15,-7.30916059178031e-17,-6.022132819366615e-15,-7.989297219478604e-16,-1.3110325945677524e-15,-1.1902390984720146e-16,9.853241365193974e-19,-2.5211218344363915e-15,-1.5007822504569966e-16,6.081221612361218e-16,-6.068911447154009e-16,1.40412821894727e-16,1.6003214769371626e-17,-4.425504391991615e-16,7.04756958112712e-17
7,1.6310968899551848e-17,0.0,6.081221612361218e-16,2.6661124990175495e-16,-7.792334576163261e-16,6.542852807631553e-15,5.859638638631457e-16,3.189563805187837e-15,-1.4795279808414248e-16,5.022547404541249e-16,2.286613187239061e-16,-4.985616908919622e-17,-1.1694656946848495e-15,4.9548414959016e-16,-7.170671233199209e-17,1.7074199142398803e-15,-4.1854561704510407e-16,-1.7480434594236698e-16,5.490333682415189e-16,-1.833445230548682e-16,2.246605150315632e-16,2.1173484156399381e-16,1.9253098384074785e-15,3.4622339645275154e-19,5.145649056613338e-16,6.893692516037008e-16,4.000803692342906e-17,1.6010908622626132e-16,3.0186352378224274e-18,2.28476666245798e-15,2.895533585750338e-17,1.4132069657875866e-15,5.514954012829606e-16,-1.1398443596550032e-16,4.493210300631264e-16,-3.2468060734013587e-17,1.6299428119670091e-16
8,-1.9003817538628806e-16,0.0,-2.9913701453517733e-16,-1.6010908622626132e-16,1.5492342913272454e-15,-1.864990028892155e-15,-4.2470069964870855e-17,4.880980504658346e-16,2.7236240520949785e-16,-7.558441437226291e-16,1.6341744312569873e-16,-3.071386219198631e-16,-1.9856296479228026e-15,-9.909682991803199e-17,4.450124722406033e-16,-1.122071558637095e-15,-1.9880916809642442e-16,1.6064765595407671e-16,3.1514022930454894e-16,2.4881921425071074e-16,-4.462434887613242e-16,1.826828516749807e-15,6.930623011658635e-16,-1.2617919337389167e-17,-1.9770125322777563e-15,1.9437750862182922e-15,-1.9819365983606398e-16,1.1902390984720146e-16,-8.948913066646813e-18,-1.7972841202525056e-15,6.804251471953381e-19,-8.137019201965111e-16,5.638055664901696e-16,1.7291935189501313e-16,1.1802370892411574e-16,4.456279805009637e-16,-1.3695058793019948e-16
9,-5.866563106560512e-18,0.0,2.156740944303007e-15,1.2502511538571582e-18,2.576517577868832e-15,2.5777485943895526e-15,9.848132165767154e-16,-7.619992263262335e-16,-3.3499037070117337e-16,-1.024205745239784e-15,1.4279791640362374e-16,-9.601928861622976e-17,3.144016193921164e-15,4.893290669865555e-17,2.773634098249265e-16,-1.6864926333876251e-15,-3.0529209713878177e-16,1.888379342785852e-15,3.003680310558982e-16,3.33143845920092e-17,2.7759422542256165e-16,-8.715596966703932e-16,5.908879299460293e-17,-2.4881921425071074e-16,-3.5453275796761758e-15,9.454206879136469e-16,6.315114751298188e-16,-2.068877140136553e-16,-1.044681012213337e-17,-3.752138355157286e-15,-1.3336813750857033e-17,6.093531777568427e-16,8.61711564504626e-17,-8.963339041499011e-18,-3.4899318362437355e-16,-2.78055856617832e-16,-4.548221351400979e-16
